編號,主分類,年段,次分類,教材名稱,標準網頁檔名,相對路徑,線上瀏覽網址,核心學習重點
"063","語文學習集","七上","文化常識","文意大補帖-西式","yuwen-comprehension-western.html","yuwen-practice/yuwen-comprehension-western.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-comprehension-western.html","西方哲理名言與翻譯文學閱讀理解關鍵素養。"
"064","語文學習集","七上","文化常識","論語相關佳句","yuwen-analects-quotes.html","yuwen-practice/yuwen-analects-quotes.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-analects-quotes.html","《論語》修身、求學、交友、處世重要名句精解。"
"065","語文學習集","七下","語文形音義","生僻字重要詞語版","yuwen-rare-words.html","yuwen-practice/yuwen-rare-words.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-rare-words.html","經典文章與文白語境中的重要生僻字詞判讀。"
"066","語文學習集","七下","詞語運用","方位詞判斷","yuwen-direction-words.html","yuwen-practice/yuwen-direction-words.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-direction-words.html","東南西北前後左右的實指方位與文化象徵涵義。"
"067","語文學習集","七下","詞語運用","同義反義偏義複詞","yuwen-compound-words.html","yuwen-practice/yuwen-compound-words.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-compound-words.html","偏義複詞重點突破與同義、反義構詞規則判斷。"
"068","語文學習集","七下","詞語運用","雙重否定判斷","yuwen-double-negation.html","yuwen-practice/yuwen-double-negation.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-double-negation.html","否定詞疊加產生的強烈肯定文意與邏輯辨識。"
"069","語文學習集","七下","詞語運用","量詞","yuwen-classifiers.html","yuwen-practice/yuwen-classifiers.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-classifiers.html","中文豐富細膩的名量詞與動量詞搭配與文法測驗。"
"070","語文學習集","七下","詞語運用","實數虛數","yuwen-numbers-real-virtual.html","yuwen-practice/yuwen-numbers-real-virtual.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-numbers-real-virtual.html","判斷詩文中數字是真實計數還是形容極多、極少的虛指。"
"071","語文學習集","七下","詞語運用","摹寫修辭","yuwen-rhetoric-sensory.html","yuwen-practice/yuwen-rhetoric-sensory.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-rhetoric-sensory.html","視覺、聽覺、嗅覺、味覺、觸覺五官感受摹寫辨識。"
"072","語文學習集","七下","詞語運用","慣用語","yuwen-idiomatic-phrases.html","yuwen-practice/yuwen-idiomatic-phrases.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiomatic-phrases.html","炒魷魚、敲竹槓、馬後砲等生動三字常考慣用語。"
"073","語文學習集","七下","語文常識","六書寶典","yuwen-six-writings.html","yuwen-practice/yuwen-six-writings.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-six-writings.html","象形、指事、會意、形聲、轉注、假借六書造字原則完整拆解。"
"074","語文學習集","七下","語文常識","書體判斷","yuwen-calligraphy-judgment.html","yuwen-practice/yuwen-calligraphy-judgment.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-calligraphy-judgment.html","甲骨文、金文、篆書、隸書、楷書、行書、草書演變與字形特徵判讀。"
"075","語文學習集","七下","文化常識","顏色字判斷","yuwen-color-words.html","yuwen-practice/yuwen-color-words.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-color-words.html","青、白、朱、赤、玄、緇等顏色詞的實指與借代活用。"
"076","語文學習集","七下","文化常識","古今用語大不同──人物篇","yuwen-ancient-modern-people.html","yuwen-practice/yuwen-ancient-modern-people.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-ancient-modern-people.html","細作、郎中、捕快、仵作等古代職稱與現代稱謂對照。"
"077","語文學習集","七下","文化常識","古今用語大不同──人體部位、動作","yuwen-ancient-modern-body.html","yuwen-practice/yuwen-ancient-modern-body.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-ancient-modern-body.html","古代人體器官與動作詞彙的古今意義演變對比。"
"078","語文學習集","七下","文化常識","古今容器大集合","yuwen-ancient-vessels.html","yuwen-practice/yuwen-ancient-vessels.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-ancient-vessels.html","樽、爵、觥、罈、鼎等古代各類酒器、食器與容量名稱。"
"079","語文學習集","七下","文化常識","外來語","yuwen-loanwords.html","yuwen-practice/yuwen-loanwords.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-loanwords.html","梵語、英語、日語等外來音譯詞與意譯詞辨析。"
"080","語文學習集","七下","文化常識","詠人(詩詞句)","yuwen-poetry-people-verses.html","yuwen-practice/yuwen-poetry-people-verses.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-people-verses.html","判斷古典詩詞中所歌詠讚頌的歷史風雲人物名句。"
"081","語文學習集","七下","文化常識","詠人(關鍵字)","yuwen-poetry-people-keywords.html","yuwen-practice/yuwen-poetry-people-keywords.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-people-keywords.html","從詩中線索特徵詞迅速推敲鎖定歷史名將文人。"
"082","語文學習集","七下","文化常識","古今用語大不同──職業篇","yuwen-ancient-modern-occupations.html","yuwen-practice/yuwen-ancient-modern-occupations.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-ancient-modern-occupations.html","仵作、庖丁、戲子、店小二、捕快、郎中等古代職業稱呼與現代職稱對照辨析。"
"083","語文學習集","七下","文化常識","詩詞常見意象","yuwen-poetry-imagery.html","yuwen-practice/yuwen-poetry-imagery.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-imagery.html","月（思鄉）、柳（送別）、杜鵑（哀怨）、鴻雁（書信）、浮雲（遊子）等古典詩詞意象密碼。"
"084","語文學習集","七下","文化常識","詩詞表現手法","yuwen-poetry-techniques.html","yuwen-practice/yuwen-poetry-techniques.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-poetry-techniques.html","借景抒情、托物言志、虛實相生、動靜結合、以樂襯哀等古典詩歌核心修辭表現手法。"
"085","語文學習集","八上","語文形音義","通同字","yuwen-interchangeable-chars.html","yuwen-practice/yuwen-interchangeable-chars.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-interchangeable-chars.html","古今文言常見通假字、古今字與異體字辨別對照。"
"086","語文學習集","八上","語文成語","疊字成語","yuwen-idiom-reduplication.html","yuwen-practice/yuwen-idiom-reduplication.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-reduplication.html","AABB、AABC、ABAC等含有重疊字的經典成語。"
"087","語文學習集","八上","語文成語","與人相關成語","yuwen-idiom-people.html","yuwen-practice/yuwen-idiom-people.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-people.html","描寫人的神態、品德、容貌與舉止特徵的成語。"
"088","語文學習集","八上","語文成語","《世說新語》相關成語","yuwen-idiom-shishuo.html","yuwen-practice/yuwen-idiom-shishuo.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-shishuo.html","魏晉名士風流與《世說新語》名篇所產生的成語。"
"089","語文學習集","八上","語文成語","《史記》相關成語","yuwen-idiom-shiji.html","yuwen-practice/yuwen-idiom-shiji.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-shiji.html","司馬遷《史記》中百轉千迴的英雄歷史成語。"
"090","語文學習集","八上","語文成語","《史記》經典成語","yuwen-idiom-shiji-classic.html","yuwen-practice/yuwen-idiom-shiji-classic.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-shiji-classic.html","《史記》核心焦點名句與必考精選成語。"
"091","語文學習集","八上","詞語運用","疊字詞","yuwen-word-reduplication.html","yuwen-practice/yuwen-word-reduplication.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-word-reduplication.html","古詩文與現代散文中各種重疊詞的意象表達與修辭。"
"092","語文學習集","八上","詞語運用","連接詞運用","yuwen-conjunctions.html","yuwen-practice/yuwen-conjunctions.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-conjunctions.html","因果、轉折、遞進、條件等複句關聯詞精確選用。"
"093","語文學習集","八上","詞語運用","移覺(通感)修辭","yuwen-rhetoric-synesthesia.html","yuwen-practice/yuwen-rhetoric-synesthesia.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-rhetoric-synesthesia.html","將一種感官感覺轉化為另一種感官經驗的移覺修辭突破。"
"094","語文學習集","八上","詞語運用","狀聲詞","yuwen-onomatopoeia.html","yuwen-practice/yuwen-onomatopoeia.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-onomatopoeia.html","摹擬風聲、雨聲、流水聲、笑聲等萬物聲音的詞彙。"
"095","語文學習集","八上","語文常識","判斷句型","yuwen-sentence-types.html","yuwen-practice/yuwen-sentence-types.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-sentence-types.html","敘事句、有無句、表態句、判斷句四大基本句型辨析。"
"096","語文學習集","八上","語文常識","詞性判斷","yuwen-part-of-speech.html","yuwen-practice/yuwen-part-of-speech.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-part-of-speech.html","名詞、動詞、形容詞、副詞、介詞、連詞精準定位。"
"097","語文學習集","八上","語文常識","詞性活用判斷","yuwen-pos-inflection.html","yuwen-practice/yuwen-pos-inflection.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-pos-inflection.html","名詞作動詞、形容詞作動詞等文言轉品活用解析。"
"098","語文學習集","八上","語文常識","詞性結構判斷","yuwen-pos-structure.html","yuwen-practice/yuwen-pos-structure.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-pos-structure.html","成語與四字詞內部詞性結構（如：名動名動、副形副形）。"
"099","語文學習集","八上","文化常識","二十四節氣","yuwen-24-solar-terms.html","yuwen-practice/yuwen-24-solar-terms.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-24-solar-terms.html","立春至大寒二十四節氣順序、氣候特徵與農事生活文化。"
"100","語文學習集","八上","文化常識","小說流變","yuwen-novel-evolution.html","yuwen-practice/yuwen-novel-evolution.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-novel-evolution.html","筆記小說、傳奇、話本、明清四大奇書與章回小說脈絡。"
"101","語文學習集","八上","文化常識","小說回目","yuwen-novel-chapters.html","yuwen-practice/yuwen-novel-chapters.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-novel-chapters.html","《三國演義》、《水滸傳》、《西遊記》、《紅樓夢》回目對應。"
"102","語文學習集","八上","文化常識","《世說新語》36類目","yuwen-shishuo-36-categories.html","yuwen-practice/yuwen-shishuo-36-categories.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-shishuo-36-categories.html","德行、言語、政事、文學、雅量、豪爽等門類篇章分類。"
"103","語文學習集","八上","文化常識","節慶(詩詞句)","yuwen-festival-poems.html","yuwen-practice/yuwen-festival-poems.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-festival-poems.html","春節、元宵、清明、端午、七夕、中秋、重陽傳統節令詩句。"
"104","語文學習集","八上","文化常識","古文格言","yuwen-prose-maxims.html","yuwen-practice/yuwen-prose-maxims.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-prose-maxims.html","歷代古文名家警策名言、修身處世哲理與歷屆大考常考經典格言精解。"
"105","語文學習集","八下","語文形音義","常誤讀字-美食類別","yuwen-misread-food.html","yuwen-practice/yuwen-misread-food.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-food.html","日常飲食與菜單中經常讀錯的特殊國字注音。"
"106","語文學習集","八下","語文形音義","常誤讀字-蟲魚鳥獸","yuwen-misread-animals.html","yuwen-practice/yuwen-misread-animals.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-animals.html","大自然動植物與生物專用字的特殊正確讀音。"
"107","語文學習集","八下","語文成語","三國演義成語","yuwen-idiom-three-kingdoms.html","yuwen-practice/yuwen-idiom-three-kingdoms.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-three-kingdoms.html","三顧茅廬、草船借箭、望梅止渴等《三國演義》英雄人物傳奇成語典故精選。"
"108","語文學習集","八下","語文成語","動物植物大自然成語","yuwen-idiom-nature.html","yuwen-practice/yuwen-idiom-nature.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-nature.html","取材於鳥獸花木與大自然景觀的成語典故。"
"109","語文學習集","八下","詞語運用","句子的語氣","yuwen-sentence-tone.html","yuwen-practice/yuwen-sentence-tone.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-sentence-tone.html","陳述、疑問、反詰、感嘆、祈使、推測等語氣判斷。"
"110","語文學習集","八下","詞語運用","一詞多義","yuwen-word-polysemy.html","yuwen-practice/yuwen-word-polysemy.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-word-polysemy.html","同一詞彙在不同句子情境中的文意與詞義判斷。"
"111","語文學習集","八下","詞語運用","ABB疊詞型形容詞","yuwen-abb-adjectives.html","yuwen-practice/yuwen-abb-adjectives.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-abb-adjectives.html","綠油油、白茫茫、沉甸甸等ABB疊詞形容詞用法。"
"112","語文學習集","八下","詞語運用","病句判斷(詞語誤用&冗詞贅字)","yuwen-faulty-sentences.html","yuwen-practice/yuwen-faulty-sentences.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-faulty-sentences.html","會考常考病句挑錯：成分殘缺、語義重複、詞語誤用。"
"113","語文學習集","八下","語文常識","書信——書信與謙詞敬語","yuwen-letters-courtesy.html","yuwen-practice/yuwen-letters-courtesy.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-letters-courtesy.html","稱謂、提稱語、結尾問候語與家大人、家慈等謙敬用語規範。"
"114","語文學習集","八下","語文常識","題辭大全","yuwen-inscriptions-all.html","yuwen-practice/yuwen-inscriptions-all.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-inscriptions-all.html","婚嫁、祝壽、生子、喬遷、開業、哀輓等場合題辭總覽。"
"115","語文學習集","八下","語文常識","題辭成語(初階_考成語版)","yuwen-inscriptions-basic.html","yuwen-practice/yuwen-inscriptions-basic.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-inscriptions-basic.html","依情境場合選填正確題辭成語之基礎實力測驗。"
"116","語文學習集","八下","語文常識","題辭成語(考分類版)","yuwen-inscriptions-category.html","yuwen-practice/yuwen-inscriptions-category.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-inscriptions-category.html","各類經典題辭所屬場合分類判定（如嫁女、男壽等）。"
"117","語文學習集","八下","語文常識","題辭成語(考成語版)","yuwen-inscriptions-advanced.html","yuwen-practice/yuwen-inscriptions-advanced.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-inscriptions-advanced.html","題辭深度進階應用題與常考成語精熟挑戰。"
"118","語文學習集","八下","語文常識","對聯判斷","yuwen-couplets-judgment.html","yuwen-practice/yuwen-couplets-judgment.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-couplets-judgment.html","上下聯字數相等、詞性對仗、平仄協調（仄起平收）及春聯、行業聯、題賀聯情境判讀。"
"119","語文學習集","八下","語文常識","謙詞敬語-01與親友稱呼有關的敬語","yuwen-courtesy-01-honorific-relatives.html","yuwen-practice/yuwen-courtesy-01-honorific-relatives.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-courtesy-01-honorific-relatives.html","尊翁、令堂、令尊、令愛、令郎、貴寶號等對他人尊長親友之敬稱用語。"
"120","語文學習集","八下","語文常識","謙詞敬語-02與親友稱呼有關的謙詞","yuwen-courtesy-02-humble-relatives.html","yuwen-practice/yuwen-courtesy-02-humble-relatives.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-courtesy-02-humble-relatives.html","家父、家母、舍弟、舍妹、小兒、犬子、寒舍等對己方家族親友之謙稱用語。"
"121","語文學習集","八下","語文常識","謙詞敬語-03與人的所有物有關的謙詞敬語","yuwen-courtesy-03-possessions.html","yuwen-practice/yuwen-courtesy-03-possessions.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-courtesy-03-possessions.html","大作、尊容、貴姓、法眼（敬詞）與拙作、愚見、敝校、菲酌（謙詞）之辨析運用。"
"122","語文學習集","八下","語文常識","謙詞敬語-04與人的事情有關的謙詞敬語","yuwen-courtesy-04-actions.html","yuwen-practice/yuwen-courtesy-04-actions.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-courtesy-04-actions.html","賜教、垂青、光臨、借光（敬詞）與拜訪、叨擾、敬謝不敏、洗耳恭聽（謙詞）之辨析運用。"
"123","語文學習集","八下","語文常識","謙詞敬語-05謙詞敬語-書信往來訪客迎賓的謙詞敬語","yuwen-courtesy-05-letters-guests.html","yuwen-practice/yuwen-courtesy-05-letters-guests.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-courtesy-05-letters-guests.html","書信啟封詞、提稱語、客套祝頌及迎賓會客社交往來之謙敬用語綜合檢測。"
"124","語文學習集","八下","語文常識","書信稱謂","yuwen-letters-appellations.html","yuwen-practice/yuwen-letters-appellations.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-letters-appellations.html","祖父母、父母、師長、平輩、晚輩書信稱謂與自稱規範（如門生、受業、愚弟、父字）。"
"125","語文學習集","八下","語文常識","書信用語","yuwen-letters-terminology.html","yuwen-practice/yuwen-letters-terminology.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-letters-terminology.html","提稱語（膝下、尊前、道鑒）、啟事敬詞、申石詞、結尾祝候語及署名禮告詞大全。"
"126","語文學習集","八下","文化常識","三十六計","yuwen-thirty-six-stratagems.html","yuwen-practice/yuwen-thirty-six-stratagems.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-thirty-six-stratagems.html","勝戰計、敵戰計、攻戰計等三十六計謀略名稱與內涵。"
"127","語文學習集","八下","文化常識","三國演義歇後語","yuwen-allegory-three-kingdoms.html","yuwen-practice/yuwen-allegory-three-kingdoms.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-allegory-three-kingdoms.html","劉備借荊州、周瑜打黃蓋、張飛捉螞蚱等三國人物情節相關之民間趣味歇後語。"
"128","語文學習集","九上","語文形音義","常誤讀字-成語類別","yuwen-misread-idioms.html","yuwen-practice/yuwen-misread-idioms.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-idioms.html","成語中容易讀錯字音的高頻考題與字音糾正。"
"129","語文學習集","九上","語文形音義","常誤讀字-綜合練習(上)","yuwen-misread-comprehensive-1.html","yuwen-practice/yuwen-misread-comprehensive-1.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-comprehensive-1.html","國中會考必備常用字易讀錯音綜合辨析練習(上)。"
"130","語文學習集","九上","語文形音義","常誤讀字-綜合練習(下)","yuwen-misread-comprehensive-2.html","yuwen-practice/yuwen-misread-comprehensive-2.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-misread-comprehensive-2.html","國中會考必備常用字易讀錯音綜合辨析練習(下)。"
"131","語文學習集","九上","語文形音義","易錯字一百","yuwen-typo-hundred.html","yuwen-practice/yuwen-typo-hundred.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-typo-hundred.html","國中生與會考歷屆最常混淆誤寫之一百組關鍵字形辨析與改錯特訓。"
"132","語文學習集","九上","語文成語","四字以上成語(上)","yuwen-idiom-multi-char-1.html","yuwen-practice/yuwen-idiom-multi-char-1.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-multi-char-1.html","五字、六字、八字等長句熟語與諺語成語(上)。"
"133","語文學習集","九上","語文成語","四字以上成語(中)","yuwen-idiom-multi-char-2.html","yuwen-practice/yuwen-idiom-multi-char-2.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-multi-char-2.html","五字、六字、八字等長句熟語與諺語成語(中)。"
"134","語文學習集","九上","語文成語","四字以上成語(下)","yuwen-idiom-multi-char-3.html","yuwen-practice/yuwen-idiom-multi-char-3.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-multi-char-3.html","五字、六字、八字等長句熟語與諺語成語(下)。"
"135","語文學習集","九上","語文成語","歷史人物典故成語","yuwen-idiom-historical-figures.html","yuwen-practice/yuwen-idiom-historical-figures.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-historical-figures.html","項羽、劉邦、諸葛亮、蘇軾等歷史名人相關成語配對。"
"136","語文學習集","九上","語文成語","經典基測、會考成語","yuwen-idiom-exam-classics.html","yuwen-practice/yuwen-idiom-exam-classics.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-exam-classics.html","歷屆基測與會考出現頻率最高的核心焦點成語總整理。"
"137","語文學習集","九上","語文成語","相似相反成語","yuwen-idiom-synonyms-antonyms.html","yuwen-practice/yuwen-idiom-synonyms-antonyms.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-synonyms-antonyms.html","成語近義詞與反義詞對照配對與語意比較測驗。"
"138","語文學習集","九上","語文成語","褒義貶義成語","yuwen-idiom-commendatory-derogatory.html","yuwen-practice/yuwen-idiom-commendatory-derogatory.html","https://oaoadna-1313.github.io/2026_practicetools/yuwen-practice/yuwen-idiom-commendatory-derogatory.html","成語感情色彩（褒義、貶義、中性）之精確判定。"
